CreatureList;name;patch
15151;Outlands Test Dummy Warrior 55;32
15152;Outlands Test Dummy Warrior 56;32
15153;Outlands Test Dummy Warrior 57;32
15154;Outlands Test Dummy Warrior 58;32
15173;Outlands Test Dummy Warrior 54;32
17249;Landro Longshot;32
16081;Spectral Gryphon;31
17069;Emmisary Whitebeard;31
17072;Emmisary Gormok;31
17074;Cenarion Scout;31
17079;General Kirika;31
17080;Marshal Bluewall;31
17081;Scout Bloodfist;31
17082;Rifleman Torrig;31
17090;Silithus Dust Turnin Quest Doodad;31
17209;William Kielar;31
17415;Lordaeron Mage;31
17466;Lordaeron Spirit;31
17635;Lordaeron Commander;31
17647;Lordaeron Soldier;31
17688;Crown Guard Horde Capture Quest Doodad;31
17689;<TXT>Crown Guard Capture Quest Doodad;31
17690;<TXT>Eastwall Capture Quest Doodad;31
17691;Eastwall Horde Capture Quest Doodad;31
17696;<TXT>Northpass Capture Quest Doodad;31
17697;Northpass Horde Capture Quest Doodad;31
17698;<TXT>Plaguewood Capture Quest Doodad;31
17699;Plaguewood Horde Capture Quest Doodad;31
17765;Alliance Silithyst Sentinel;31
17766;Horde Silithyst Sentinel;31
17794;Alliance Tower Buffer;31
17795;Horde Tower Buffer;31
17995;Lordaeron Veteran;31
17996;Lordaeron Fighter;31
18199;Silithus Dust Turnin Quest Doodad Horde;31
15928;Thaddius;30
15929;Stalagg;30
15930;Feugen;30
15931;Grobbulus;30
15932;Gluth;30
15936;Heigan the Unclean;30
15952;Maexxna;30
15953;Grand Widow Faerlina;30
15954;Noth the Plaguebringer;30
15956;Anub'Rekhan;30
15974;Dread Creeper;30
15975;Carrion Spinner;30
15976;Venom Stalker;30
15977;Infectious Skitterer;30
15978;Crypt Reaver;30
15979;Tomb Horror;30
15980;Naxxramas Cultist;30
15981;Naxxramas Acolyte;30
15989;Sapphiron;30
15990;Kel'Thuzad;30
16011;Loatheb;30
16017;Patchwork Golem;30
16018;Bile Retcher;30
16020;Mad Scientist;30
16021;Living Monstrosity;30
16022;Surgical Assistant;30
16024;Embalming Slime;30
16025;Stitched Spewer;30
16027;Living Poison;30
16028;Patchwerk;30
16029;Sludge Belcher;30
16034;Plague Beast;30
16036;Frenzied Bat;30
16037;Plagued Bat;30
16056;Diseased Maggot;30
16057;Rotting Maggot;30
16060;Gothik the Harvester;30
16061;Instructor Razuvious;30
16062;Highlord Mograine;30
16063;Sir Zeliek;30
16064;Thane Korth'azz;30
16065;Lady Blaumeux;30
16067;Skeletal Steed;30
16068;Larva;30
16082;Naxxramas Trigger;30
16099;[PH] Naxxramas Test Boss;30
16124;Unrelenting Trainee;30
16125;Unrelenting Deathknight;30
16126;Unrelenting Rider;30
16127;Spectral Trainee;30
16137;Naxxramas Military Sub-Boss Trigger;30
16142;Bile Sludge;30
16145;Deathknight Captain;30
16146;Deathknight;30
16148;Spectral Deathknight;30
16149;Spectral Horse;30
16150;Spectral Rider;30
16154;Risen Deathknight;30
16156;Dark Touched Warrior;30
16157;Doom Touched Warrior;30
16158;Death Touched Warrior;30
16163;Deathknight Cavalier;30
16164;Shade of Naxxramas;30
16165;Necro Knight;30
16167;Bony Construct;30
16168;Stoneskin Gargoyle;30
16193;Skeletal Smith;30
16194;Unholy Axe;30
16211;Naxxramas Combat Dummy;30
16215;Unholy Staff;30
16216;Unholy Swords;30
16218;Tesla Coil;30
16236;Eye Stalk;30
16243;Plague Slime;30
16244;Infectious Ghoul;30
16286;Spore;30
16290;Fallout Slime;30
16297;Mutated Grub;30
16360;Zombie Chow;30
16363;Grobbulus Cloud;30
16365;Master Craftsman Omarion;30
16368;Necropolis Acolyte;30
16375;Sewage Slime;30
16381;Archmage Tarsis Kir-Moldir;30
16387;Atiesh;30
16390;Deathchill Servant;30
16400;Toxic Tunnel;30
16427;Soldier of the Frozen Wastes;30
16428;Unstoppable Abomination;30
16429;Soul Weaver;30
16440;Highlord Mograine;30
16441;Guardian of Icecrown;30
16446;Plagued Gargoyle;30
16447;Plagued Ghoul;30
16448;Plagued Deathhound;30
16449;Spirit of Naxxramas;30
16451;Deathknight Vindicator;30
16452;Necro Knight Guardian;30
16453;Necro Stalker;30
16486;Web Wrap;30
16505;Naxxramas Follower;30
16506;Naxxramas Worshipper;30
16573;Crypt Guard;30
16698;Corpse Scarab;30
16775;Spirit of Mograine;30
16776;Spirit of Blaumeux;30
16777;Spirit of Zeliek;30
16778;Spirit of Korth'azz;30
16783;Plague Slime (Blue);30
16784;Plague Slime (Red);30
16785;Plague Slime (Green);30
16803;Deathknight Understudy;30
16861;Death Lord;30
16980;The Lich King;30
16981;Plagued Guardian;30
16982;Plagued Construct;30
16983;Plagued Champion;30
16984;Plagued Warrior;30
16998;Mr. Bigglesworth;30
16999;Johnny McWeaksauce;30
17025;Sapphiron's Wing Buffet;30
17055;Maexxna Spiderling;30
17231;Garden Gas;30
17286;Invisible Man;30
17293;Plague Wave;30
7392;Prairie Chicken;29
10583;Gryfe;29
14486;Scourge Footsoldier;29
14489;Scourge Archer;29
14682;Sever;29
14684;Balzaphon;29
14686;Lady Falther'ess;29
14690;Revanchion;29
14693;Scorn;29
14695;Lord Blackwood;29
14697;Lumbering Horror;29
15973;Naxxramas Template;29
16030;Maggot;29
16112;Korfax, Champion of the Light;29
16113;Father Inigo Montoy;29
16114;Scarlet Commander Marjhan;29
16115;Commander Eligor Dawnbringer;29
16116;Archmage Angela Dosantos;29
16129;Shadow Fissure;29
16131;Rohan the Assassin;29
16132;Huntsman Leopold;29
16133;Mataus the Wrathcaster;29
16134;Rimblat Earthshatter;29
16135;Rayne;29
16136;Necrotic Shard;29
16140;[UNUSED] Necropolis Crystal, Buttress;29
16141;Ghoul Berserker;29
16143;Shadow of Doom;29
16172;Damaged Necrotic Shard;29
16212;Dispatch Commander Metz;29
16214;Necropolis Controller;29
16225;Pack Mule;29
16226;Guard Didier;29
16227;Bragok;29
16228;Argent Dawn Infantry;29
16229;Injured Argent Dawn Infantry;29
16230;Cultist Engineer;29
16232;Caravan Mule;29
16241;Argent Recruiter;29
16254;Field Marshal Chambers;29
16255;Argent Scout;29
16256;Jessica Chambers;29
16281;Keeper of the Rolls;29
16283;Packmaster Stonebruiser;29
16284;Argent Medic;29
16285;Argent Emissary;29
16298;Spectral Soldier;29
16299;Skeletal Shocktrooper;29
16306;Scourge Invasion Minion, spawner, Ghost/Ghoul;29
16336;Scourge Invasion Minion, spawner, Ghost/Skeleton;29
16338;Scourge Invasion Minion, spawner, Ghoul/Skeleton;29
16356;Scourge Invasion Minion, finder;29
16359;Argent Messenger;29
16361;Commander Thomas Helleran;29
16376;Craftsman Wilhelm;29
16378;Argent Sentry;29
16379;Spirit of the Damned;29
16380;Bone Witch;29
16382;Patchwork Terror;29
16383;Flameshocker;29
16384;Argent Dawn Initiate;29
16386;Necropolis Relay;29
16392;Captain Armando Ossex;29
16394;Pallid Horror;29
16395;Argent Dawn Paladin;29
16396;Stormwind Elite Guard;29
16398;Necropolis Proxy;29
16399;Bloodsail Traitor;29
16401;Necropolis;29
16416;Bronn Fitzwrench;29
16417;Rumsen Fizzlebrack;29
16418;Mupsi Shacklefridd;29
16419;Ghost of Naxxramas;29
16421;Necropolis health;29
16422;Skeletal Soldier;29
16423;Spectral Apparition;29
16431;Cracked Necrotic Crystal;29
16432;Undercity Elite Guardian;29
16433;Argent Dawn Crusader;29
16434;Argent Dawn Champion;29
16435;Argent Dawn Cleric;29
16436;Argent Dawn Priest;29
16437;Spectral Spirit;29
16438;Skeletal Trooper;29
16478;Lieutenant Orrin;29
16479;Polymorph Clone;29
16484;Lieutenant Nevell;29
16490;Lieutenant Lisande;29
16493;Lieutenant Dagel;29
16494;Lieutenant Rukag;29
16495;Lieutenant Beitha;29
16531;Faint Necrotic Crystal;29
16786;Argent Quartermaster;29
16787;Argent Outfitter;29
16995;Mouth of Kel'Thuzad;29
11474;Eldreth Wraith;28
16012;Mokvar;28
16013;Deliana;28
16016;Anthion Harmon;28
16031;Ysida Harmon;28
16033;Bodley;28
16042;Lord Valthalak;28
16043;Magma Lord Bokk;28
16044;Mor Grayhoof Trigger;28
16045;Isalien Trigger;28
16046;Jarien and Sothos Trigger;28
16047;Kormok Trigger;28
16048;Lord Valthalak Trigger;28
16049;Lefty;28
16050;Rotfang;28
16051;Snokh Blackspine;28
16052;Malgen Longspear;28
16053;Korv;28
16054;Rezznik;28
16055;Va'jashni;28
16058;Volida;28
16059;Theldren;28
16066;Spectral Assassin;28
16072;Tidelord Rrurgaz;28
16073;Spirit of Lord Valthalak;28
16079;Theldren Trigger;28
16080;Mor Grayhoof;28
16083;Mor Grayhoof Transformation Visual;28
16093;Spectral Stalker;28
16094;Durik;28
16095;Gnashjaw;28
16096;Steamwheedle Bruiser;28
16097;Isalien;28
16098;Empyrean;28
16100;Ysida's Trigger;28
16101;Jarien;28
16102;Sothos;28
16103;Spirit of Jarien;28
16104;Spirit of Sothos;28
16117;Plagued Swine;28
16118;Kormok;28
16123;Gremnik Rizzlesprang;28
16166;Theldren Kill Credit;28
11811;Narain Soothfancy;27
15168;Vile Scarab;27
15185;Brood of Nozdormu;27
15192;Anachronos;27
15226;[UNUSED] Vekniss Builder;27
15227;[UNUSED] Vekniss Hiveshaper;27
15228;[UNUSED] Vekniss Wellborer;27
15229;Vekniss Soldier;27
15230;Vekniss Warrior;27
15231;[UNUSED] Vekniss Patroller;27
15232;[UNUSED] Vekniss Eradicator;27
15233;Vekniss Guardian;27
15234;[UNUSED] Vekniss Swarmer;27
15235;Vekniss Stinger;27
15236;Vekniss Wasp;27
15237;[UNUSED] Vekniss Wrathstinger;27
15238;[UNUSED] Vekniss Hive Reaver;27
15239;[UNUSED] Vekniss Hive Lurker;27
15240;Vekniss Hive Crawler;27
15241;[UNUSED] Vekniss Crusher;27
15242;[UNUSED] Vekniss Demolisher;27
15243;[UNUSED] Vekniss Wasprider;27
15244;[UNUSED] Vekniss Hive Raider;27
15245;[UNUSED] Vekniss Waspguard;27
15246;Qiraji Mindslayer;27
15247;Qiraji Brainwasher;27
15248;[UNUSED] Qiraji Soulbender;27
15249;Qiraji Lasher;27
15250;Qiraji Slayer;27
15251;[UNUSED] Qiraji Slaymaster;27
15252;Qiraji Champion;27
15253;[UNUSED] Qiraji Champion;27
15254;[UNUSED] Qiraji Captain;27
15255;[UNUSED] Qiraji Officer;27
15256;[UNUSED] Qiraji Commander;27
15257;[UNUSED] Qiraji Honor Guard;27
15258;[UNUSED] Qiraji Praetor;27
15259;[UNUSED] Qiraji Imperator;27
15262;Obsidian Eradicator;27
15263;The Prophet Skeram;27
15264;Anubisath Sentinel;27
15275;Emperor Vek'nilash;27
15276;Emperor Vek'lor;27
15277;Anubisath Defender;27
15299;Viscidus;27
15300;Vekniss Drone;27
15311;Anubisath Warder;27
15312;Obsidian Nullifier;27
15316;Qiraji Scarab;27
15317;Qiraji Scorpion;27
15318;Hive'Zara Drone;27
15319;Hive'Zara Collector;27
15320;Hive'Zara Soldier;27
15322;[UNUSED] Hive'Zara Ambusher;27
15323;Hive'Zara Sandstalker;27
15324;Qiraji Gladiator;27
15325;Hive'Zara Wasp;27
15326;[UNUSED] Hive'Zara Swarmer;27
15327;Hive'Zara Stinger;27
15329;[UNUSED] Hive'Zara Scout;27
15330;[UNUSED] Sand Borer;27
15331;[UNUSED] Dune Tunneler;27
15332;[UNUSED] Crystal Feeder;27
15333;Silicate Feeder;27
15334;Giant Eye Tentacle;27
15335;Flesh Hunter;27
15336;Hive'Zara Tail Lasher;27
15337;[UNUSED] Sand Mold;27
15338;Obsidian Destroyer;27
15339;Ossirian the Unscarred;27
15340;Moam;27
15341;General Rajaxx;27
15342;[UNUSED] Sphinx;27
15343;Qiraji Swarmguard;27
15344;Swarmguard Needler;27
15345;[UNUSED] Daughter of Hecate;27
15346;[UNUSED] Qiraji Wasprider;27
15347;[UNUSED] Qiraji Wasplord;27
15348;Kurinnaxx;27
15352;Corrupted Water Elemental;27
15355;Anubisath Guardian;27
15369;Ayamiss the Hunter;27
15370;Buru the Gorger;27
15378;Merithra of the Dream;27
15379;Caelestrasz;27
15380;Arygos;27
15381;Anachronos the Ancient;27
15382;Fandral Staghelm;27
15383;Sergeant Stonebrow;27
15385;Colonel Zerran;27
15386;Major Yeggeth;27
15387;Qiraji Warrior;27
15388;Major Pakkon;27
15389;Captain Drenn;27
15390;Captain Xurrem;27
15391;Captain Qeez;27
15392;Captain Tuubid;27
15393;[UNUSED] Ruins Qiraji Gladiator Named 7;27
15410;Anachronos Dragon Form;27
15411;Arygos Dragon Form;27
15412;Caelestrasz Dragon Form;27
15413;Merithra Dragon Form;27
15414;Qiraji Wasp;27
15421;Qiraji Drone;27
15422;Qiraji Tank;27
15423;Kaldorei Infantry;27
15424;Anubisath Conqueror;27
15426;Ahn'Qiraj Trigger;27
15427;Merithra's Wake;27
15428;Sand Vortex;27
15429;Disgusting Oozeling;27
15431;Corporal Carnes;27
15432;Dame Twinbraid;27
15434;Private Draxlegauge;27
15435;Ironforge Brigade Mortarman;27
15436;Mortar Sergeant Stouthammer;27
15437;Master Nightsong;27
15440;Captain Blackanvil;27
15441;Ironforge Brigade Rifleman;27
15442;Ironforge Brigade Footman;27
15443;Janela Stouthammer;27
15444;Arcanist Nozzlespring;27
15445;Sergeant Major Germaine;27
15446;Bonnie Stoneflayer;27
15448;Private Porter;27
15449;Hive'Zora Abomination;27
15450;Marta Finespindle;27
15451;Sentinel Silversky;27
15452;Nurse Stonefield;27
15453;Keeper Moonshade;27
15454;Anachronos Quest Trigger Invisible;27
15455;Slicky Gastronome;27
15456;Sarah Sadwhistle;27
15457;Huntress Swiftriver;27
15458;Commander Stronghammer;27
15459;Miner Cromwell;27
15460;Grunt Maug;27
15461;Shrieker Scarab;27
15462;Spitting Scarab;27
15469;Senior Sergeant T'kelah;27
15471;Lieutenant General Andorov;27
15473;Kaldorei Elite;27
15475;Beetle;27
15477;Herbalist Proudfeather;27
15481;Spirit of Azuregos;27
15491;Eranikus, Tyrant of the Dream;27
15495;Nighthaven Defender;27
15498;Windcaller Yessendra;27
15499;Warden Haro;27
15500;Keyl Swiftclaw;27
15502;Andorgos;27
15503;Kandrostrasz;27
15504;Vethsera;27
15505;Canal Frenzy;27
15506;Stewvul;27
15507;Buru the Gorger Transform Visual;27
15508;Batrider Pele'keiki;27
15509;Princess Huhuran;27
15510;Fankriss the Unyielding;27
15511;Lord Kri;27
15512;Apothecary Jezel;27
15514;Buru Egg;27
15515;Skinner Jamani;27
15516;Battleguard Sartura;27
15517;Ouro;27
15520;O'Reily;27
15521;Hive'Zara Hatchling;27
15522;Sergeant Umala;27
15525;Doctor Serratus;27
15526;Meridith the Mermaiden;27
15527;Mana Fiend;27
15528;Healer Longrunner;27
15529;Lady Callow;27
15532;Stoneguard Clayhoof;27
15533;Bloodguard Rawtar;27
15534;Fisherman Lin'do;27
15535;Chief Sharpclaw;27
15537;Anubisath Warrior;27
15538;Anubisath Swarmguard;27
15539;General Zog;27
15540;Windcaller Kaldon;27
15541;Twilight Marauder Morna;27
15542;Twilight Marauder;27
15543;Princess Yauj;27
15544;Vem;27
15545;Cenarion Outrider;27
15546;Hive'Zara Swarmer;27
15552;Doctor Weavil;27
15553;Doctor Weavil's Flying Machine;27
15554;Number Two;27
15555;Hive'Zara Larva;27
15571;Maws;27
15589;Eye of C'Thun;27
15590;Ossirian Crystal Trigger;27
15591;Minion of Weavil;27
15609;Cenarion Scout Landion;27
15610;Cenarion Scout Azenel;27
15611;Cenarion Scout Jalia;27
15612;Krug Skullsplit;27
15613;Merok Longstride;27
15615;Shadow Priestess Shai;27
15616;Orgrimmar Legion Grunt;27
15617;Orgrimmar Legion Axe Thrower;27
15620;Hive'Regal Hunter-Killer;27
15621;Yauj Brood;27
15622;Vekniss Borer;27
15623;Xandivious;27
15624;Forest Wisp;27
15625;Twilight Corrupter;27
15628;Eranikus the Redeemed;27
15629;Nightmare Phantasm;27
15630;Spawn of Fankriss;27
15633;Tyrande;27
15663;War Effort Volunteer;27
15666;Black Qiraji Battle Tank;27
15667;Glob of Viscidus;27
15676;Auctioneer Yarly;27
15693;Jonathan the Revelator;27
15695;Vek Twins Trigger;27
15696;War Effort Recruit;27
15699;Tranquil Mechanical Yeti;27
15700;Warlord Gorchuk;27
15701;Field Marshal Snowfall;27
15702;Senior Sergeant Taiga;27
15703;Senior Sergeant Grimsford;27
15704;Senior Sergeant Kai'jin;27
15707;Master Sergeant Fizzlebolt;27
15708;Master Sergeant Maclure;27
15709;Master Sergeant Moonshadow;27
15711;Black Qiraji Battle Tank;27
15713;Blue Qiraji Battle Tank;27
15714;Yellow Qiraji Battle Tank;27
15715;Green Qiraji Battle Tank;27
15716;Red Qiraji Battle Tank;27
15717;Ouro Trigger;27
15718;Ouro Scarab;27
15720;Timbermaw Ancestor;27
15725;Claw Tentacle;27
15726;Eye Tentacle;27
15727;C'Thun;27
15728;Giant Claw Tentacle;27
15731;Darnassus Commendation Officer;27
15733;Gnomeregan Commendation Officer;27
15734;Ironforge Commendation Officer;27
15735;Stormwind Commendation Officer;27
15736;Orgrimmar Commendation Officer;27
15737;Darkspear Commendation Officer;27
15738;Undercity Commendation Officer;27
15739;Thunder Bluff Commendation Officer;27
15740;Colossus of Zora;27
15741;Colossus of Regal;27
15742;Colossus of Ashi;27
15743;Colossal Anubisath Warbringer;27
15744;Imperial Qiraji Destroyer;27
15747;Qiraji Captain;27
15748;Lesser Anubisath Warbringer;27
15749;Lesser Silithid Flayer;27
15750;Qiraji Major;27
15751;Anubisath Warbringer;27
15752;Silithid Flayer;27
15753;Qiraji Brigadier General;27
15754;Greater Anubisath Warbringer;27
15756;Greater Silithid Flayer;27
15757;Qiraji Lieutenant General;27
15758;Supreme Anubisath Warbringer;27
15759;Supreme Silithid Flayer;27
15761;Officer Vu'Shalay;27
15762;Officer Lunalight;27
15763;Officer Porterhouse;27
15764;Officer Ironbeard;27
15765;Officer Redblade;27
15766;Officer Maloof;27
15767;Officer Thunderstrider;27
15768;Officer Gothena;27
15769;Resonating Crystal;27
15770;Greater Resonating Crystal;27
15771;Major Resonating Crystal;27
15778;Mouth Tentacle Mount Visual;27
15797;Colossus Researcher Sophia;27
15798;Colossus Researcher Nestor;27
15799;Colossus Researcher Eazel;27
15800;Exit Trigger;27
15801;GONG BOY DND DNR;27
15802;Flesh Tentacle;27
15804;Lesser Resonating Crystal;27
15805;Minor Resonating Crystal;27
15806;Qiraji Lieutenant;27
15807;Minor Anubisath Warbringer;27
15808;Minor Silithid Flayer;27
15809;C'Thun Transformation Visual;27
15810;Eroded Anubisath Warbringer;27
15811;Faltering Silithid Flayer;27
15812;Qiraji Officer;27
15813;Qiraji Officer Zod;27
15814;Qiraji Lieutenant Jo-rel;27
15815;Qiraji Captain Ka'ark;27
15816;Qiraji Major He'al-ie;27
