GossipList;;Patch
7394;"Welcome, $N. I am Landro Longshot - manager of the Black Flame. Perhaps you've not heard of the Black Flame until now. That doesn't surprise me; we work to keep things that way. We prefer to avoid... factional entanglements.$B$BThe Black Flame specializes in providing the finest services and entertainment money can buy, whether they happen to be hard to find items, gladiatorial combat, or lucrative games of chance.$B$BAre you here seeking something specific?$B";32
7379;Don't be alarmed... while my gryphons may not be entirely whole, they will still carry you faithfully to your destination. Tell me... which tower do you seek?;31
2440;;30
7222;<Tarsis's eyes light up.>$B$BI held it once... I held it despite the warnings of the Kirin Tor. I held it, mortal... Power unending. Power to do what I desired, as I desired. And just as quickly, it was taken from me. But I had tasted... And that taste was all that it took.  ;30
7223;Atiesh, Greatstaff of the Guardian. The staff handed down through the ages to each of the Guardians of Tirisfal. The staff corrupted by Sargeras. The staff of the last Guardian. The staff of Medivh.;30
7224;<Tarsis grabs you weakly by the collar. Even in death you see power unimaginable in his eyes.>$B$BAm I? Then listen closely, for more nonsense is about to escape my lips. Within this citadel you will find my life's work: The exact location of every fragment of the splintered staff.;30
7225;I would have it back, mortal. Atiesh... From it I would create the Highborne anew. I would have it all back. Even the Queen?;30
7226;Once the jewel of northern Lordaeron, the city of Stratholme is where Prince Arthas turned against his mentor, Uther Lightbringer, and slaughtered hundreds of his own subjects who were believed to have contracted the plague of undeath. Arthas' surrender to the Lich King soon followed. The broken city is now inhabited by the undead Scourge - led by the powerful lich, Kel'Thuzad, and a contingent of Scarlet Crusaders, led by Grand Crusader Dathrohan. The two sides are locked in constant, violent combat. ;30
7227;The things I have done... such horrible things...$B$B<Tarsis begins to sob.>;30
7228;<Tarsis groans.>$B$BThere may still be time... Listen closely, mortal.$B$BThrough time and across the Nether I have searched. Deals made with a host of evil and villainy so wretched...$B$B<Tarsis coughs blood into his hands.>$B$BWould you... would you believe that even Elune has turned her back on me, $r? To die here, in this manner now...;30
7229;<Tarsis is badly injured.>;30
7231;"Haven't you been listening? No, I very much doubt we would be having this conversation had Kel'Thuzad formed the staff. Kel'Thuzad holds the head. His underlings hold forty splinters of Atiesh. The last piece - the base - was uncovered by Brann Bronzebeard. He was last seen in the Silithus desert; undoubtedly doing his best to stay as far away as possible from the relentless seekers Kel'Thuzad has dispatched into the world.";30
7232;Kel'Thuzad has put forth considerable effort in attempting to reform the staff. The pieces were once scattered across this world, from Kalimdor to the South Seas. I myself held twenty of the pieces at one point in time - until they were stolen from me by Kel'Thuzad's minions. It is why I am here.;30
7233;It was lost when the Violet Citadel fell... splintered into forty-two pieces.;30
7268;I'm afraid that the blade which you hold in your hands is beyond saving. The hatred runs too deep. But do not lose hope, $c. Where one chapter has ended, a new one begins.$B$BFind his son - a more devout and pious man you may never meet. It is rumored that he is able to build the Ashbringer anew, without requiring the old, tainted blade.;30
7269;Aye, I did. Much to the dismay of the lesser Mograine, I made my way back to the Scarlet Monastery. I shouted and screamed. I told the tale to any that would listen. And I would be murdered in cold blood for my actions, dragged to this chamber - the dark secret of the order. But some did listen... some heard my words. Thus was born the Argent Dawn...;30
