ItemList;name;Patch
17;Martin Fury;32
813;Broken Cog;32
2248;Martin Fury;32
2477;Ravager's Skull;32
3952;Mesh Belt;32
3953;Mesh Boots;32
3954;Mesh Bracers;32
3955;Mesh Cloak;32
3956;Mesh Gloves;32
3957;Mesh Pants;32
3958;Mesh Mantle;32
3959;Mesh Armor;32
3977;Strapped Belt;32
3978;Strapped Boots;32
3979;Strapped Bracers;32
3980;Strapped Cloak;32
3981;Strapped Gloves;32
3982;Strapped Pants;32
3983;Strapped Shoulderpads;32
3984;Strapped Armor;32
3988;Plate Wall Shield;32
3991;Plated Buckler;32
4008;Sterling Chain Belt;32
4009;Sterling Chain Boots;32
4010;Sterling Chain Bracers;32
4011;Sterling Chain Cloak;32
4012;Sterling Chain Gloves;32
4013;Sterling Chain Pants;32
4014;Sterling Chain Shoulderpads;32
4015;Sterling Chain Armor;32
4191;Unused Feathered Leggings;32
4990;Scorched Bands;32
5255;Quilboar Tomahawk;32
5549;Fast Test Dagger;32
5550;Fast Test Gun;32
5560;Fast Test Wand;32
5748;Centaur Longbow;32
6650;Healing Stream Totem Scroll;32
7170;Twain Random Sword FOO;32
7679;Shrike Bat Fang;32
7925;Mithril Scale Gloves;32
7977;Plans: Mithril Scale Gloves;32
9325;A Small Stave;32
10585;Goblin Radio;32
10723;Gnomish Ham Radio;32
14550;Bladebane Armguards;32
18304;Greenroot Mail;32
18320;Demonheart Spaulders;32
20020;Bundle of Goods;32
21545;Smokywood Supplies;32
23683;Crystal Flake Throat Lozenge;31
23684;Crystal Infused Bandage;31
23689;Manual: Crystal Infused Bandage;31
23690;Recipe: Crystal Flake Throat Lozenge;31
24101;Book of Ferocious Bite V;31
24102;Manual of Eviscerate IX;31
22349;Desecrated Breastplate;30
22350;Desecrated Tunic;30
22351;Desecrated Robe;30
22352;Desecrated Legplates;30
22353;Desecrated Helmet;30
22354;Desecrated Pauldrons;30
22355;Desecrated Bracers;30
22356;Desecrated Waistguard;30
22357;Desecrated Gauntlets;30
22358;Desecrated Sabatons;30
22359;Desecrated Legguards;30
22360;Desecrated Headpiece;30
22361;Desecrated Spaulders;30
22362;Desecrated Wristguards;30
22363;Desecrated Girdle;30
22364;Desecrated Handguards;30
22365;Desecrated Boots;30
22366;Desecrated Leggings;30
22367;Desecrated Circlet;30
22368;Desecrated Shoulderpads;30
22369;Desecrated Bindings;30
22370;Desecrated Belt;30
22371;Desecrated Gloves;30
22372;Desecrated Sandals;30
22373;Wartorn Leather Scrap;30
22374;Wartorn Chain Scrap;30
22375;Wartorn Plate Scrap;30
22376;Wartorn Cloth Scrap;30
22386;Head of Instructor Razuvious DEP;30
22387;Heart of Anub'Rekhan;30
22416;Dreadnaught Breastplate;30
22417;Dreadnaught Legplates;30
22418;Dreadnaught Helmet;30
22419;Dreadnaught Pauldrons;30
22420;Dreadnaught Sabatons;30
22421;Dreadnaught Gauntlets;30
22422;Dreadnaught Waistguard;30
22423;Dreadnaught Bracers;30
22424;Redemption Wristguards;30
22425;Redemption Tunic;30
22426;Redemption Handguards;30
22427;Redemption Legguards;30
22428;Redemption Headpiece;30
22429;Redemption Spaulders;30
22430;Redemption Boots;30
22431;Redemption Girdle;30
22436;Cryptstalker Tunic;30
22437;Cryptstalker Legguards;30
22438;Cryptstalker Headpiece;30
22439;Cryptstalker Spaulders;30
22440;Cryptstalker Boots;30
22441;Cryptstalker Handguards;30
22442;Cryptstalker Girdle;30
22443;Cryptstalker Wristguards;30
22464;Earthshatter Tunic;30
22465;Earthshatter Legguards;30
22466;Earthshatter Headpiece;30
22467;Earthshatter Spaulders;30
22468;Earthshatter Boots;30
22469;Earthshatter Handguards;30
22470;Earthshatter Girdle;30
22471;Earthshatter Wristguards;30
22476;Bonescythe Breastplate;30
22477;Bonescythe Legplates;30
22478;Bonescythe Helmet;30
22479;Bonescythe Pauldrons;30
22480;Bonescythe Sabatons;30
22481;Bonescythe Gauntlets;30
22482;Bonescythe Waistguard;30
22483;Bonescythe Bracers;30
22488;Dreamwalker Tunic;30
22489;Dreamwalker Legguards;30
22490;Dreamwalker Headpiece;30
22491;Dreamwalker Spaulders;30
22492;Dreamwalker Boots;30
22493;Dreamwalker Handguards;30
22494;Dreamwalker Girdle;30
22495;Dreamwalker Wristguards;30
22496;Frostfire Robe;30
22497;Frostfire Leggings;30
22498;Frostfire Circlet;30
22499;Frostfire Shoulderpads;30
22500;Frostfire Sandals;30
22501;Frostfire Gloves;30
22502;Frostfire Belt;30
22503;Frostfire Bindings;30
22504;Plagueheart Robe;30
22505;Plagueheart Leggings;30
22506;Plagueheart Circlet;30
22507;Plagueheart Shoulderpads;30
22508;Plagueheart Sandals;30
22509;Plagueheart Gloves;30
22510;Plagueheart Belt;30
22511;Plagueheart Bindings;30
22512;Robe of Faith;30
22513;Leggings of Faith;30
22514;Circlet of Faith;30
22515;Shoulderpads of Faith;30
22516;Sandals of Faith;30
22517;Gloves of Faith;30
22518;Belt of Faith;30
22519;Bindings of Faith;30
22520;The Phylactery of Kel'Thuzad;30
22589;Atiesh, Greatstaff of the Guardian;30
22630;Atiesh, Greatstaff of the Guardian;30
22631;Atiesh, Greatstaff of the Guardian;30
22632;Atiesh, Greatstaff of the Guardian;30
22652;Glacial Vest;30
22654;Glacial Gloves;30
22655;Glacial Wrists;30
22658;Glacial Cloak;30
22661;Polar Tunic;30
22662;Polar Gloves;30
22663;Polar Bracers;30
22664;Icy Scale Breastplate;30
22665;Icy Scale Bracers;30
22666;Icy Scale Gauntlets;30
22669;Icebane Breastplate;30
22670;Icebane Gauntlets;30
22671;Icebane Bracers;30
22682;Frozen Rune;30
22684;Pattern: Glacial Gloves;30
22685;Pattern: Glacial Cloak;30
22686;Pattern: Glacial Vest;30
22687;Pattern: Glacial Wrists;30
22691;Corrupted Ashbringer;30
22692;Pattern: Polar Tunic;30
22694;Pattern: Polar Gloves;30
22695;Pattern: Polar Bracers;30
22696;Pattern: Icy Scale Breastplate;30
22697;Pattern: Icy Scale Gauntlets;30
22698;Pattern: Icy Scale Bracers;30
22699;Icebane Leggings;30
22700;Glacial Leggings;30
22701;Polar Leggings;30
22702;Icy Scale Leggings;30
22703;Plans: Icebane Breastplate;30
22704;Plans: Icebane Gauntlets;30
22705;Plans: Icebane Bracers;30
22707;Ramaladni's Icy Grasp;30
22708;Fate of Ramaladni;30
22719;Omarion's Handbook;30
22726;Splinter of Atiesh;30
22727;Frame of Atiesh;30
22733;Staff Head of Atiesh;30
22734;Base of Atiesh;30
22736;Andonisus, Reaper of Souls;30
22737;Atiesh, Greatstaff of the Guardian;30
22798;Might of Menethil;30
22799;Soulseeker;30
22800;Brimstone Staff;30
22801;Spire of Twilight;30
22802;Kingsfall;30
22803;Midnight Haze;30
22804;Maexxna's Fang;30
22805;Naxxramas Sword 1H 1 [PH];30
22806;Widow's Remorse;30
22807;Wraith Blade;30
22808;The Castigator;30
22809;Maul of the Redeemed Crusader;30
22810;Toxin Injector;30
22811;Soulstring;30
22812;Nerubian Slavemaker;30
22813;Claymore of Unholy Might;30
22814;Naxxramas Sword 2H 2 [PH];30
22815;Severance;30
22816;Hatchet of Sundered Bone;30
22817;Naxxramas Polearm [PH];30
22818;The Plague Bearer;30
22819;Shield of Condemnation;30
22820;Wand of Fates;30
22821;Doomfinger;30
22935;Touch of Frost;30
22936;Wristguards of Vengeance;30
22937;Gem of Nerubis;30
22938;Cryptfiend Silk Cloak;30
22939;Band of Unanswered Prayers;30
22940;Icebane Pauldrons;30
22941;Polar Shoulder Pads;30
22942;The Widow's Embrace;30
22943;Malice Stone Pendant;30
22947;Pendant of Forgotten Names;30
22954;Kiss of the Spider;30
22960;Cloak of Suturing;30
22961;Band of Reanimation;30
22967;Icy Scale Spaulders;30
22968;Glacial Mantle;30
22981;Gluth's Missing Collar;30
