Entry;name;Number
1;Waypoint (Only GM can see it);14
2;Spawn Point (Only GM can see it);1
3;Flesh Eater;3
6;Kobold Vermin;1
19;Benny Questgiver;2
29;Dragon Spawn;1
30;Forest Spider;1
31;Furbolg;1
36;Harvest Golem;1
38;Defias Thug;1
40;Kobold Miner;1
43;Mine Spider;1
46;Murloc Forager;1
48;Skeletal Warrior;3
49;Lesser Succubus;2
54;Corina Steele;13
55;Mean Ed the Blacksmith;2
60;Ruklar the Trapper;1
61;Thuros Lightfingers;1
62;Gug Fatcandle;1
65;Peasant Woman;1
66;Tharynn Bouden;6
67;[UNUSED] Marlon Darnik;1
68;Stormwind City Guard;12
69;Timber Wolf;1
70;[UNUSED] Lower Class Citizen;1
71;Rankist;1
72;[UNUSED] Antaris the Trader;2
73;Veraina the Apothecary;10
74;Kurran Steele;1
75;[UNUSED] Vashaum Nightwither;1
78;Janos Hammerknuckle;1
79;Narg the Taskmaster;1
80;Kobold Laborer;1
81;[UNUSED] Luglar the Clogger;1
82;Crazy Leonetti;1
87;Forest Troll Berserker;1
89;Infernal;14
90;Sea Giant;10
92;Rock Elemental;13
93;Centaur;1
94;Defias Cutpurse;1
95;Defias Smuggler;2
97;Riverpaw Runt;1
98;Riverpaw Taskmaster;2
99;Morgaine the Sly;1
100;Gruff Swiftbite;1
102;Bronze Dragonspawn;1
103;Garrick Padfoot;1
105;Tall Strider;1
106;Kodo Beast;1
107;Raptor;1
108;Green Dragonspawn;1
109;White Dragonspawn;1
111;Priest;1
112;Priestess;1
113;Stonetusk Boar;1
114;Harvest Watcher;2
115;Harvest Reaper;2
116;Defias Bandit;1
117;Riverpaw Gnoll;1
118;Prowler;1
119;Longsnout;1
120;Forest Stalker;1
121;Defias Pathstalker;2
122;Defias Highwayman;2
123;Riverpaw Mongrel;2
124;Riverpaw Brute;2
125;Riverpaw Overseer;2
126;Murloc Coastrunner;2
127;Murloc Tidehunter;2
128;Angry Programmer Tweedle Dee;14
129;Angry Programmer Tweedle Dum;14
130;Programmer Vendor;14
149;[UNUSED] Small Black Dragon Whelp;1
150;[UNUSED] Brother Milius;1
151;Brog Hamfist;1
152;Brother Danil;1
153;Bethina;6
154;Greater Fleshripper;2
157;Goretusk;2
161;[UNUSED] Ander the Monk;1
163;[UNUSED] Destitute Farmer;1
165;[UNUSED] Small Child;1
167;Morhan Coppertongue;1
171;Murloc Warrior;2
190;Dermot Johns;1
192;Ice Troll;14
193;Blue Dragonspawn;12
196;Eagan Peltskinner;1
197;Marshal McBride;1
198;Khelden Bremen;1
199;Young Fleshripper;1
200;Shambling Skeleton UNUSED;2
201;Brittlebones Skeleton UNUSED;1
202;Skeletal Horror;3
203;Skeletal Mage;3
204;[UNUSED] Cackle Flamebone;3
205;Nightbane Dark Runner;5
206;Nightbane Vile Fang;5
207;[UNUSED] Riverpaw Hideflayer;3
208;[UNUSED] Riverpaw Pack Warder;3
209;[UNUSED] Riverpaw Bone Chanter;3
210;Bone Chewer;3
211;Ogre;5
212;Splinter Fist Warrior;5
213;Starving Dire Wolf;3
215;Defias Night Runner;3
217;Venom Web Spider;3
218;Grave Robber;3
219;[UNUSED] Logan Mar;2
220;[UNUSED] Khebil Steelsmith;2
221;Dannus;2
222;Nillen Andemar;2
223;Dan Golthas;6
224;Zek Marston;2
225;Gavin Gnarltree;13
226;Morg Gnarltree;5
227;Mabel Solaj;3
228;Avette Fellwood;3
229;Vaious;1
230;Thornton Fellwood;1
232;Farmer Ray;3
233;Farmer Saldean;2
234;Gryan Stoutmantle;1
235;Salma Saldean;6
237;Farmer Furlbrow;1
238;Verna Furlbrow;1
239;Grimbooze Thunderbrew;1
240;Marshal Dughan;1
241;"Remy ""Two Times""";1
242;Horras Brackwell;1
243;[UNUSED] Greeby Mudwhisker TEST;1
244;Ma Stonefield;1
246;"""Auntie"" Bernice Stonefield";1
247;Billy Maclure;1
248;Gramma Stonefield;1
250;Pa Maclure;1
251;Maybell Maclure;1
252;Tommy Joe Stonefield;1
253;William Pestle;1
255;Gerard Tiller;1
257;Kobold Worker;1
258;Joshua Maclure;1
260;[UNUSED] Elwynn Tower Guard;2
261;Guard Thomas;1
262;Half-eaten body;1
263;Lord Ello Ebonlocke;3
264;Commander Althea Ebonlocke;3
265;Madame Eva;3
266;Wiley the Black;4
267;Clerk Daltry;5
268;Sirra Von'Indi;5
269;Role Dreuger;10
270;Councilman Millstipe;7
271;Ambassador Berrybuck;5
272;Chef Grual;5
273;Tavernkeep Smitts;3
274;Barkeep Hann;3
275;Whit Wantmal;13
276;Viktori Prism'Antras;7
277;Roberto Pupellyverbos;5
278;Sara Timberlain;1
279;Morgan Pestle;5
280;Placeholder - Jasperlode Mine;14
281;Kobold Tank;1
282;Kobold Spellcaster;1
283;Kobold Healer;1
284;Riding Horse (Brown);11
285;Murloc;1
286;Old Rotten Gill;1
287;Placeholder - Darkhollow Mine;14
288;Jitters;5
289;Abercrombie;6
290;Placeholder - Fargodeep Mine;14
291;Placeholder Chest of Drawers;14
294;Marshal Haggard;1
295;Innkeeper Farley;10
296;[UNUSED] Goodmother Jans;2
297;Caretaker Folsom;10
298;[UNUSED] Aunt Bethda;14
299;Young Wolf;1
300;Zzarc' Vul;5
301;[UNUSED] Brog'Mud;5
302;Blind Mary;6
303;Placeholder Interactive Doodad - jk;14
304;Riding Horse (Felsteed);1
305;Riding Horse (White Stallion);14
306;Riding Horse (Palomino);14
307;Riding Horse (Pinto);11
308;Riding Horse (Black Stallion);11
309;Rolf's corpse;1
311;Sven Yorgen;5
313;Theocritus;2
314;Eliza;6
315;Stalvan Mistmantle;5
318;[UNUSED] Brother Akil;1
319;[UNUSED] Brother Benthas;1
320;[UNUSED] Brother Cryus;1
321;[UNUSED] Brother Deros;1
322;[UNUSED] Brother Enoch;1
323;[UNUSED] Brother Farthing;1
324;[UNUSED] Brother Greishan;1
