ObjectList;name;Patch
181597;Silithyst Mound;31
181598;Silithyst Geyser;31
181603;Sillithus Flag Stand, Alliance;31
181617;Sillithus Flag Stand, Horde;31
181618;ToWoW - Flag Cap Counter, Alliance;31
181619;ToWoW - Flag Cap Counter, Horde;31
181682;Lordaeron Shrine;31
181899;Doodad_BattlefieldBanner_State_Base_Plaguelands01;31
181955;Lordaeron Shrine;31
182096;Doodad_BattlefieldBanner_State_Base_Plaguelands02;31
182097;Doodad_BattlefieldBanner_State_Base_Plaguelands03;31
182098;Doodad_BattlefieldBanner_State_Base_Plaguelands04;31
182106;Tower Banner;31
129;Naxx Teleporter trap;30
181056;Naxxramas;30
181119;Deathknight Door;30
181120;Gluth - Exit Door;30
181121;Thaddius Door;30
181123;Patchwork - Exit Door;30
181124;Vaccuum - Enter Gate;30
181125;Vaccuum - Exit Gate;30
181126;Anub'Rekhan Door;30
181167;Grand Widow Faerlina Door;30
181168;Icebellow Furnace;30
181169;Icebellow Furnace;30
181170;Vaccuum - Combat Gate;30
181195;Anub'Rekhan Gate;30
181197;Maexxna - Inner Web Door;30
181198;Doodad_Nox_door_slime01;30
181199;Doodad_Nox_door_slime02;30
181200;Noth - Entry Door;30
181201;Noth - Exit Door;30
181202;Heigan the Unclean - Entry Door;30
181203;Heigan the Unclean - Exit Door;30
181207;Runed Demonic Blade;30
181209;Maexxna - Outer Web Door;30
181210;Deathknight Wing Eye Portal Ramp;30
181211;Plague Wing Eye Portal Ramp;30
181212;Spider Wing Eye Portal Ramp;30
181213;Abom Wing Eye Portal Ramp;30
181225;Frostwyrm Waterfall Door;30
181228;KelThuzad Door;30
181229;Portal;30
181230;Deathknight Wing Eye Portal Boss;30
181231;Plague Wing Eye Portal Boss;30
181232;Abom Wing Eye Portal Boss;30
181233;Spider Wing Eye Portal Boss;30
181234;Icebellow Anvil;30
181235;Grand Widow Faerlina - Web;30
181240;Loatheb Fight Door 01 (not used);30
181241;Loatheb - Entrance Door;30
181242;Loatheb Fight Door 02 (not used);30
181243;Loatheb Fight Door 03 (not used);30
181287;Frozen Rune;30
181356;Sapphiron Birth;30
181366;Four Horsemen Chest;30
181402;Doodad_kelthuzad_window_portal01;30
181403;Doodad_kelthuzad_window_portal02;30
181404;Doodad_kelthuzad_window_portal03;30
181405;Doodad_kelthuzad_window_portal04;30
181444;Kel'Thuzad Trigger;30
181476;Nox Portal Plaguewood;30
181477;Doodad_nox_tesla05;30
181478;Doodad_nox_tesla06;30
181496;Heigan - Exit Door;30
181510;Plague Fissure;30
181511;Plague Fissure;30
181512;Plague Fissure;30
181513;Plague Fissure;30
181514;Plague Fissure;30
181515;Plague Fissure;30
181516;Plague Fissure;30
181517;Plague Fissure;30
181518;Plague Fissure;30
