entry;name;Number
17;Martin Fury;32
25;Worn Shortsword;1
35;Bent Staff;1
36;Worn Mace;1
37;Worn Axe;1
38;Recruit's Shirt;1
39;Recruit's Pants;1
40;Recruit's Boots;1
41;OLDRecruit's Belt;1
42;OLDSquire's Belt;1
43;Squire's Boots;1
44;Squire's Pants;1
45;Squire's Shirt;1
46;OLDFootpad's Belt;1
47;Footpad's Shoes;1
48;Footpad's Pants;1
49;Footpad's Shirt;1
50;OLDInitiate's Belt;1
51;Neophyte's Boots;1
52;Neophyte's Pants;1
53;Neophyte's Shirt;1
54;OLDNovice's Belt;1
55;Apprentice's Boots;1
56;Apprentice's Robe;1
57;Acolyte's Robe;1
58;OLDAcolyte's Belt;1
59;Acolyte's Shoes;1
60;Layered Tunic;1
61;Dwarven Leather Pants;1
77;Deprecated Outfitter Cloth Armor;1
79;Dwarven Cloth Britches;1
80;Soft Fur-lined Shoes;13
85;Dirty Leather Vest;1
86;Deprecated Old Belt;1
87;Deprecated Old Boots;1
88;Deprecated Old Pants;1
89;OLDThick Trapper's Shirt;1
90;OLDDwarven Initiate's Belt;1
91;OLDDwarven Initiate's Pants;1
92;OLDDwarven Initiate's Boots;1
93;OLDDwarven Initiate's Shirt;1
94;Deprecated Dwarven Novice's Belt;1
95;Deprecated Dwarven Novice's Boots;1
97;Deprecated Dwarven Novice's Robe;1
98;Deprecated Dwarven Squire's Belt;1
99;Deprecated Dwarven Squire's Boots;1
100;Deprecated Dwarven Squire's Pants;1
101;Deprecated Dwarven Squire's Shirt;1
102;Deprecated Dwarven Recruit's Belt;1
103;Deprecated Dwarven Recruit's Boots;1
104;Deprecated Sturdy Brown Pants;1
105;Deprecated Dwarven Recruit's Shirt;1
113;Deprecated Dwarven Apprentice Pants;1
114;Deprecated Dwarven Apprentice Boots;1
115;Deprecated Dwarven Apprentice Belt;1
117;Tough Jerky;1
118;Minor Healing Potion;1
119;Deprecated Rogue's Vest;1
120;Thug Pants;1
121;Thug Boots;1
122;OLDThug Belt;1
123;Deprecated Orc Apprentice Shirt;1
124;Deprecated Orc Apprentice Pants;1
125;Deprecated Orc Apprentice Boots;1
126;Deprecated Orc Apprentice Belt;1
127;Trapper's Shirt;1
128;Deprecated Tauren Trapper's Pants;1
129;Rugged Trapper's Boots;1
130;Deprecated Tauren Trapper's Belt;1
131;Deprecated Orc Acolyte's Belt;1
132;Deprecated Orc Acolyte's Boots;1
133;Deprecated Orc Acolyte's Shirt;1
134;Deprecated Stiff Leather Shirt;1
135;Deprecated Stiff Leather Pants;1
136;Deprecated Old Leather Boots;1
137;OLDNeophyte's Belt;1
138;Deprecated War Harness;1
139;Brawler's Pants;1
140;Brawler's Boots;1
141;OLDBrawler's Belt;1
143;Monster - Shield, Stormwind Guard;1
146;OLDRugged Trapper's Belt;1
147;Rugged Trapper's Pants;1
148;Rugged Trapper's Shirt;1
149;Deprecated Tauren Apprentice Belt;1
150;Deprecated Tauren Apprentice Pants;1
151;Deprecated Tauren Apprentice Shirt;1
152;OLDPrimitive Leather Belt;1
153;Primitive Kilt;1
154;Primitive Mantle;1
155;Deprecated Tauren Recruit's Belt;1
156;Deprecated Tauren Recruit's Pants;1
157;Deprecated Tauren Recruit's Shirt;1
159;Refreshing Spring Water;1
182;Garrick's Head;1
184;Deprecated Small Brown Pouch;1
192;Martin Thunder;11
193;Tattered Cloth Vest;1
194;Tattered Cloth Pants;1
195;Tattered Cloth Boots;1
200;Thick Cloth Vest;3
201;Thick Cloth Pants;3
202;Thick Cloth Shoes;3
203;Thick Cloth Gloves;3
209;Dirty Leather Pants;1
210;Dirty Leather Boots;1
236;Cured Leather Armor;2
237;Cured Leather Pants;2
238;Cured Leather Boots;2
239;Cured Leather Gloves;2
285;Scalemail Vest;2
286;Scalemail Pants;2
287;Scalemail Boots;2
414;Dalaran Sharp;1
422;Dwarven Mild;2
527;Deprecated Gnoll War Beads;2
537;Dull Frenzy Scale;1
555;Rough Vulture Feathers;1
556;Buzzard Beak;2
647;Destiny;13
710;Bracers of the People's Militia;1
711;Tattered Cloth Gloves;1
714;Dirty Leather Gloves;1
718;Scalemail Gloves;2
719;Rabbit Handler Gloves;1
720;Brawler Gloves;8
723;Goretusk Liver;6
724;Goretusk Liver Pie;6
725;Gnoll Paw;1
727;Notched Shortsword;1
728;Recipe: Westfall Stew;7
729;Stringy Vulture Meat;7
730;Murloc Eye;7
731;Goretusk Snout;7
732;Okra;7
733;Westfall Stew;7
734;Deprecated Malakai's Medallion;1
735;Rolf and Malakai's Medallions;1
737;Holy Spring Water;11
738;Sack of Barley;12
739;Sack of Corn;12
740;Sack of Rye;12
741;Deprecated Copper Ingot;1
742;A Sycamore Branch;12
743;Bundle of Charred Oak;12
744;Thunderbrew's Boot Flask;12
745;Marshal McBride's Documents;1
746;Lord Brandon's Tabard (Test);1
748;Stormwind Armor Marker;1
750;Tough Wolf Meat;1
751;Deprecated Wolf Femur;1
752;Red Burlap Bandana;1
753;Dragonmaw Shortsword;8
754;Shortsword of Vengeance;11
755;Melted Candle;1
756;Tunnel Pick;8
761;Deprecated Elwynn Trout;3
763;Ice-covered Bracers;1
765;Silverleaf;6
766;Flanged Mace;1
767;Long Bo Staff;1
768;Lumberjack Axe;1
769;Chunk of Boar Meat;1
770;Pointy Crocolisk Tooth;3
771;Chipped Boar Tusk;1
772;Large Candle;6
773;Gold Dust;1
774;Malachite;6
776;Vendetta;9
777;Prowler Teeth;1
778;Kobold Excavation Pick;1
779;Shiny Seashell;1
780;Torn Murloc Fin;1
781;Stone Gnoll Hammer;1
782;Painted Gnoll Armband;1
783;Light Hide;6
784;Deprecated Tiny Flame Sac;1
785;Mageroyal;7
786;Deprecated Pure Copper Ingot;1
787;Slitherskin Mackerel;6
788;Test Fire Sword;1
789;Stout Battlehammer;2
790;Forester's Axe;2
791;Gnarled Ash Staff;9
792;Knitted Sandals;1
793;Knitted Gloves;1
794;Knitted Pants;1
795;Knitted Tunic;1
796;Rough Leather Boots;1
797;Rough Leather Gloves;1
798;Rough Leather Pants;1
799;Rough Leather Vest;1
804;Large Blue Sack;1
805;Small Red Pouch;1
806;Deprecated Brown Leather Satchel;1
807;Deprecated Iron Ingot;1
808;Deprecated Malachite;1
809;Bloodrazor;11
810;Hammer of the Northern Wind;13
811;Axe of the Deep Woods;13
812;Glowing Brightwood Staff;13
813;Broken Cog;32
814;Flask of Oil;1
816;Small Hand Blade;1
818;Tigerseye;6
820;Slicer Blade;2
821;Riverpaw Leather Vest;2
823;Deprecated Horse Summoning (Mount);11
826;Brutish Riverpaw Axe;2
827;Wicked Blackjack;2
828;Small Blue Pouch;1
829;Red Leather Bandana;2
832;Silver Defias Belt;2
833;Lifestone;13
835;Large Rope Net;2
836;Deprecated Heavy Net;13
837;Heavy Weave Armor;2
838;Heavy Weave Pants;2
839;Heavy Weave Gloves;2
840;Heavy Weave Shoes;2
841;Furlbrow's Pocket Watch;1
842;Deprecated Wolf Summoning (Mount);11
843;Tanned Leather Boots;2
844;Tanned Leather Gloves;2
845;Tanned Leather Pants;2
846;Tanned Leather Jerkin;2
847;Chainmail Armor;2
848;Chainmail Pants;2
849;Chainmail Boots;2
850;Chainmail Gloves;2
851;Cutlass;2
852;Mace;2
853;Hatchet;2
854;Quarter Staff;2
855;Deprecated White Leather Satchel;2
856;Blue Leather Bag;1
857;Large Red Sack;1
858;Lesser Healing Potion;1
859;Fine Cloth Shirt;2
860;Cavalier's Boots;1
862;Runed Ring;15
863;Gloom Reaper;9
864;Knightly Longsword;9
865;Leaden Mace;8
866;Monk's Staff;10
867;Gloves of Holy Might;11
868;Ardent Custodian;11
869;Dazzling Longsword;11
870;Fiery War Axe;11
871;Flurry Axe;11
872;Rockslicer;4
873;Staff of Jordan;11
875;Brown Horse Summoning;11
876;Worn Wooden Buckler;1
877;Deprecated Old Skull;1
878;Fist-sized Spinneret;2
880;Staff of Horrors;3
883;Deprecated Fire Eyed Skull;1
884;Ghoul Rib;6
885;Black Metal Axe;2
886;Black Metal Shortsword;11
887;Pound of Flesh;3
888;Naga Battle Gloves;10
889;A Dusty Unsent Letter;10
890;Twisted Chanter's Staff;8
892;Gnoll Casting Gloves;3
893;Dire Wolf Fang;3
894;Deprecated Ravager Claw;1
895;Worgen Skull;1
896;Worgen Fang;1
897;Madwolf Bracers;8
898;Deprecated Broken Venomweb Fang;3
899;Venom Web Fang;3
900;Deprecated Nightmare Summoning (Mount);11
901;Deptecated White Stallion Summoning (Mount);11
902;Deprecated Palomino Summoning (Mount);11
903;Deprecated Pinto Summoning (Mount);11
905;Brown Leather Shoulderpads (Test);2
