PoolList;description;Patch
47850;Naxxramas - Frozen Rune - Anub'Rekhan (181287);30
47851;Naxxramas - Frozen Rune - Grand Widow Faerlina (181287);30
47852;Naxxramas - Frozen Rune - Maexxna (181287);30
47853;Naxxramas - Frozen Rune - Spider Wing, left (181287);30
47854;Naxxramas - Frozen Rune - Spider Wing, right (181287);30
47855;Naxxramas - Frozen Rune - Noth the Plaguebringer (181287);30
47856;Naxxramas - Frozen Rune - Heigan (181287);30
47857;Naxxramas - Frozen Rune - Loatheb (181287);30
47858;Naxxramas - Frozen Rune - Plague Wing, left (181287);30
47859;Naxxramas - Frozen Rune - Plague Wing, right (181287);30
47860;Naxxramas - Frozen Rune - Patchwerk (181287);30
47861;Naxxramas - Frozen Rune - Grobbulus (181287);30
47862;Naxxramas - Frozen Rune - Gluth (181287);30
47863;Naxxramas - Frozen Rune - Thaddius (181287);30
47864;Naxxramas - Frozen Rune - Abom Wing, left (181287);30
47865;Naxxramas - Frozen Rune - Abom Wing, right (181287);30
47866;Naxxramas - Frozen Rune - Instructor Razuvious (181287);30
47867;Naxxramas - Frozen Rune - Gothik (181287);30
47868;Naxxramas - Frozen Rune - Four Horsemen (181287);30
47869;Naxxramas - Frozen Rune - Deathknight Wing, left (181287);30
47870;Naxxramas - Frozen Rune - Deathknight Wing, right (181287);30
46761;Zul'Gurub - Sungrass (180164);25
46762;Zul'Gurub - Purple Lotus (180165);25
46763;Zul'Gurub - Mountain Silversage (180166);25
46764;Zul'Gurub - Golden Sansam (180167);25
46765;Zul'Gurub - Dreamfoil (180168);25
46771;Zul'Gurub - Muddy Churning Waters (180369);25
47501;Arathi Basin - Speed/Food/Berserk Buff - Stables;25
47502;Arathi Basin - Speed/Food/Berserk Buff - Gold Mine;25
47503;Arathi Basin - Speed/Food/Berserk Buff - Blacksmith;25
47504;Arathi Basin - Speed/Food/Berserk Buff - Lumber Mill;25
47505;Arathi Basin - Speed/Food/Berserk Buff - Farm;25
46204;LBRS - Crystal Fang (10376);24
1810;The Hinterlands - Slagtree's Lost Tools (179908);23
44901;Hardpacked Snowdrift (180654);23
1212;Mongress;21
25507;Felwood - Death Howl;21
47201;DM West - Tsu'zee (11467);21
47214;Whip Lasher 2x-4x, The Shrine of Eldretharr, Group 1;21
47215;Whip Lasher 2x-4x, The Shrine of Eldretharr, Group 2;21
47216;Whip Lasher 2x-4x, The Shrine of Eldretharr, Group 3;21
47285;DM East - Master Ghost Mushroom (142144) Pool;21
47286;DM East - Master Gromsblood (142145) Pool;21
47287;DM East - Master Dreamfoil (176584) Pool;21
47288;DM East - Master Rich Thorium Vein (175404) Pool;21
47289;Dire Maul - Dusty Tome;21
47290;DM West - Large Solid Chest / Large Mithril Bound Chest - #3;21
47291;DM East - Master Chest Pool;21
47292;DM East - Large Solid Chest / Large Mithril Bound Chest - #1;21
47293;DM East - Large Solid Chest / Large Mithril Bound Chest - #2;21
47294;DM West - Master Chest Pool;21
47295;DM West - Large Solid Chest / Large Mithril Bound Chest - #1;21
47296;DM West - Large Solid Chest / Large Mithril Bound Chest - #2;21
47297;DM East - Master Chest Pool;21
47298;DM West - Master Chest Pool;21
47299;DM North - Master Chest Pool;21
1219;The Nameless Prophet;20
1700;Abominable Greench (13602);20
1701;Org Harvest Food 1;20
1702;Org Harvest Food 2;20
1703;Org Harvest Food 3;20
1704;Org Harvest Food 4;20
1705;Org Harvest Food 5;20
1706;Org Harvest Food 6;20
1707;Org Harvest Food 7;20
1708;Org Harvest Food 8;20
1709;IF Harvest Food 1;20
1710;IF Harvest Food 2;20
1711;IF Harvest Food 3;20
1712;IF Harvest Food 4;20
1713;IF Harvest Food 5;20
1714;IF Harvest Food 6;20
1715;IF Harvest Food 7;20
2319;Mineral nodes - Maraudon - multinodes subzone 5;20
2320;Mineral nodes - Maraudon - multinodes subzone 57;20
5655;Mineral nodes - Maraudon - multinodes subzone 5;20
5656;Mineral nodes - Maraudon - multinodes subzone 5;20
5660;Mineral nodes - Maraudon - multinodes subzone 57;20
5661;Mineral nodes - Maraudon - multinodes subzone 57;20
5662;Mineral nodes - Maraudon - multinodes subzone 57;20
25000;Noblegarden (Dolanaar) - Brightly Colored Egg;20
25001;Noblegarden (Kharanos) - Brightly Colored Egg;20
25002;Noblegarden (Goldshire) - Brightly Colored Egg;20
25003;Noblegarden (Brill) - Brightly Colored Egg;20
25004;Noblegarden (Bloodhoof Village) - Brightly Colored Egg;20
25005;Noblegarden (Razor Hill) - Brightly Colored Egg;20
46901;Maraudon - Meshlok the Harvester (12237);20
46951;Maraudon - Mineral Node;20
46952;Maraudon (The Wicked Grotto) - Mineral Pool;20
46953;Maraudon (Earth Song Falls) - Mineral Node;20
46954;Maraudon (Foulspore Cavern) - Mineral Pool;20
46955;Maraudon (Poison Falls) - Mineral Pool;20
46956;Maraudon (Zaetar's Grave) - Mineral Pool;20
46957;Maraudon (The Noxious Hollow) - Mineral Pool;20
46961;Maraudon - Stranglekelp (2045);20
46971;Maraudon - Blindweed (142143);20
46981;Maraudon - Ghost Mushroom (142144);20
46982;Maraudon (Foulspore Cavern) - Ghost Mushroom (142144);20
46983;Maraudon (Poison Falls) - Ghost Mushroom (142144);20
46984;Maraudon (The Wicked Grotto) - Ghost Mushroom (142144);20
1841;Desolace (Sar'theris Strand) - Giant Softshell Clam (177784);18
47138;MC - Dark Iron Deposit;18
46201;UBRS - Jed Runewatcher (10509);17
46203;LBRS - Bijous Belongings (175334);17
46205;LBRS - Inconspicuous Documents (175785);17
46291;UBRS - Master Chest Pool;17
46297;UBRS (Hall of Blackhand) - Chest Pool;17
46298;UBRS (Blackrock Stadium) - Chest Pool;17
46801;Stratholme - Enchanted Scarlet Thread (175966);17
1845;Arathi Highlands - Keepsake of Remembrance (176630);16
25452;Caer Darrow ghosts;16
1208;Zul'Farrak - Sandarr Dunereaver / Placeholder;15
1217;Zul'Farrak - Sandarr Dunereaver / Placeholder #1;15
1218;Zul'Farrak - Sandarr Dunereaver / Placeholder #2;15
46101;Zul'Farrak - Sandarr Dunereaver (10080);15
46102;Zul'Farrak - Dustwraith (10081);15
46103;Zul'Farrak - Zerillis (10082);15
1036;Grunter (8303);14
1038;Hematos (8976);14
1059;Duggan Wildhammer (10817);14
1060;Hed'mush the Rotting (10821);14
1061;Warlord Thresh'jin (10822);14
1062;Zul'Brin Warpbranch (10823);14
1063;Ranger Lord Hawkspear (10824);14
1064;Gish the Unmoving (10825);14
1065;Lord Darkscythe (10826);14
1066;Deathspeaker Selendre (10827);14
1067;High General Abbendis (10828);14
1068;Nerubian Overseer (16184);14
1148;Scarlet Judge (1837);14
1149;Scarlet Interrogator (1838);14
1150;Scarlet High Clerist (1839);14
1151;Scarlet Executioner (1841);14
1152;Foreman Jerris (1843);14
1153;Foreman Marcrid (1844);14
1155;Lord Maldazzar (1848);14
1156;Putridius (1850);14
1157;The Husk (1851);14
1158;Scarlet Smith (1885);14
1215;Lord Sinslayer - 7017;14
2096;Mineral nodes - Western Plaguelands - multinodes subzone 2;14
2097;Mineral nodes - Western Plaguelands - multinodes subzone 3;14
2098;Mineral nodes - Western Plaguelands - multinodes subzone 4;14
2099;Mineral nodes - Western Plaguelands - multinodes subzone 5;14
2100;Mineral nodes - Western Plaguelands - multinodes subzone 7;14
2101;Mineral nodes - Western Plaguelands - multinodes subzone 8;14
2102;Mineral nodes - Western Plaguelands - multinodes subzone 9;14
2103;Mineral nodes - Western Plaguelands - multinodes subzone 10;14
2104;Mineral nodes - Western Plaguelands - multinodes subzone 11;14
2105;Mineral nodes - Western Plaguelands - multinodes subzone 13;14
2106;Mineral nodes - Western Plaguelands - multinodes subzone 14;14
2107;Mineral nodes - Western Plaguelands - multinodes subzone 15;14
2108;Mineral nodes - Western Plaguelands - multinodes subzone 16;14
2109;Mineral nodes - Western Plaguelands - multinodes subzone 17;14
2110;Mineral nodes - Western Plaguelands - multinodes subzone 18;14
2111;Mineral nodes - Western Plaguelands - multinodes subzone 19;14
2112;Mineral nodes - Western Plaguelands - multinodes subzone 20;14
2113;Mineral nodes - Western Plaguelands - multinodes subzone 21;14
2114;Mineral nodes - Western Plaguelands - multinodes subzone 22;14
2115;Mineral nodes - Western Plaguelands - multinodes subzone 23;14
2116;Mineral nodes - Western Plaguelands - multinodes subzone 24;14
2117;Mineral nodes - Western Plaguelands - multinodes subzone 25;14
2118;Mineral nodes - Western Plaguelands - multinodes subzone 26;14
2119;Mineral nodes - Western Plaguelands - multinodes subzone 27;14
2348;Mineral nodes - Winterspring - multinodes subzone 7;14
2376;Mineral nodes - Eastern Plaguelands - multinodes subzone 1;14
2377;Mineral nodes - Eastern Plaguelands - multinodes subzone 4;14
2378;Mineral nodes - Eastern Plaguelands - multinodes subzone 7;14
2379;Mineral nodes - Eastern Plaguelands - multinodes subzone 8;14
2380;Mineral nodes - Eastern Plaguelands - multinodes subzone 9;14
2381;Mineral nodes - Eastern Plaguelands - multinodes subzone 10;14
2382;Mineral nodes - Eastern Plaguelands - multinodes subzone 11;14
2383;Mineral nodes - Eastern Plaguelands - multinodes subzone 12;14
2384;Mineral nodes - Eastern Plaguelands - multinodes subzone 13;14
2385;Mineral nodes - Eastern Plaguelands - multinodes subzone 14;14
2386;Mineral nodes - Eastern Plaguelands - multinodes subzone 15;14
2387;Mineral nodes - Eastern Plaguelands - multinodes subzone 16;14
2388;Mineral nodes - Eastern Plaguelands - multinodes subzone 17;14
2389;Mineral nodes - Eastern Plaguelands - multinodes subzone 18;14
2390;Mineral nodes - Eastern Plaguelands - multinodes subzone 19;14
2391;Mineral nodes - Eastern Plaguelands - multinodes subzone 20;14
2392;Mineral nodes - Eastern Plaguelands - multinodes subzone 21;14
2393;Mineral nodes - Eastern Plaguelands - multinodes subzone 22;14
2394;Mineral nodes - Eastern Plaguelands - multinodes subzone 23;14
2395;Mineral nodes - Eastern Plaguelands - multinodes subzone 25;14
2396;Mineral nodes - Eastern Plaguelands - multinodes subzone 26;14
2397;Mineral nodes - Eastern Plaguelands - multinodes subzone 27;14
2398;Mineral nodes - Eastern Plaguelands - multinodes subzone 28;14
2399;Mineral nodes - Eastern Plaguelands - multinodes subzone 31;14
2400;Mineral nodes - Eastern Plaguelands - multinodes subzone 32;14
2401;Mineral nodes - Eastern Plaguelands - multinodes subzone 33;14
2402;Mineral nodes - Eastern Plaguelands - multinodes subzone 34;14
2403;Mineral nodes - Eastern Plaguelands - multinodes subzone 35;14
2404;Mineral nodes - Eastern Plaguelands - multinodes subzone 39;14
2405;Mineral nodes - Eastern Plaguelands - multinodes subzone 41;14
2406;Mineral nodes - Eastern Plaguelands - multinodes subzone 43;14
2407;Mineral nodes - Eastern Plaguelands - multinodes subzone 44;14
3226;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3227;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3228;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3229;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3230;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3231;Truesilver Deposit - Blasted Lands - multinodes subzone 5;14
3261;Truesilver Deposit - Blasted Lands - multinodes subzone 9;14
3263;Truesilver Deposit - Blasted Lands - multinodes subzone 10;14
3264;Truesilver Deposit - Blasted Lands - multinodes subzone 10;14
3273;Truesilver Deposit - Blasted Lands - multinodes subzone 10;14
3274;Truesilver Deposit - Blasted Lands - multinodes subzone 10;14
3275;Truesilver Deposit - Blasted Lands - multinodes subzone 10;14
3797;Mithril Deposit - Azshara - subzone 7;14
3801;Truesilver Deposit - Azshara - subzone 17;14
3802;Mithril Deposit - Azshara - subzone 18;14
3803;Mineral nodes - Azshara - subzone 20;14
3804;Mineral nodes - Azshara - subzone 24;14
3807;Mithril Deposit - Azshara - subzone 27;14
3808;Mineral nodes - Azshara - subzone 29;14
3809;Mineral nodes - Azshara - subzone 30;14
3810;Mineral nodes - Azshara - subzone 34;14
3811;Mithril Deposit - Azshara - subzone 35;14
3812;Truesilver Deposit - Azshara - subzone 36;14
3814;Mithril Deposit - Azshara - subzone 42;14
3815;Mithril Deposit - Azshara - subzone 44;14
3821;Mineral nodes - Azshara - subzone 59;14
3822;Truesilver Deposit - Azshara - subzone 60;14
3825;Mineral nodes - Azshara - subzone 63;14
3827;Mineral nodes - Azshara - subzone 67;14
3828;Mineral nodes - Azshara - subzone 68;14
3830;Truesilver Deposit - Azshara - subzone 70;14
5947;Truesilver Deposit - Felwood - subzone 27;14
5950;Mineral nodes - Felwood - subzone 40;14
5951;Mineral nodes - Winterspring - subzone 3;14
5952;Mineral nodes - Winterspring - subzone 4;14
5953;Mineral nodes - Winterspring - subzone 6;14
5954;Mineral nodes - Winterspring - subzone 7;14
5955;Mineral nodes - Winterspring - multinodes subzone 7;14
5956;Mineral nodes - Winterspring - subzone 8;14
5957;Mineral nodes - Winterspring - subzone 11;14
5958;Mineral nodes - Winterspring - subzone 12;14
5959;Mineral nodes - Winterspring - subzone 13;14
5960;Mineral nodes - Winterspring - subzone 14;14
5961;Mineral nodes - Winterspring - subzone 17;14
5962;Mineral nodes - Winterspring - subzone 18;14
5963;Mineral nodes - Winterspring - subzone 19;14
5964;Mineral nodes - Winterspring - subzone 21;14
5965;Mineral nodes - Winterspring - subzone 22;14
5966;Mineral nodes - Winterspring - subzone 23;14
5967;Mineral nodes - Winterspring - subzone 24;14
5968;Mineral nodes - Winterspring - subzone 25;14
5969;Mineral nodes - Winterspring - subzone 26;14
5970;Mineral nodes - Winterspring - subzone 27;14
5971;Mineral nodes - Winterspring - subzone 28;14
5972;Mineral nodes - Winterspring - subzone 31;14
5973;Mineral nodes - Winterspring - subzone 35;14
5974;Mineral nodes - Winterspring - subzone 36;14
5975;Mineral nodes - Winterspring - subzone 37;14
5976;Mineral nodes - Winterspring - subzone 38;14
5977;Mineral nodes - Winterspring - subzone 39;14
5978;Mineral nodes - Winterspring - subzone 40;14
5981;Mineral nodes - Winterspring - subzone 50;14
8164;Golden Sansam - Azshara - subzone 1;14
8169;Dreamfoil - Azshara - subzone 3;14
8170;Golden Sansam - Azshara - subzone 3;14
8171;Mountain Silversage - Azshara - subzone 3;14
8176;Dreamfoil - Azshara - subzone 4;14
8177;Golden Sansam - Azshara - subzone 4;14
8178;Mountain Silversage - Azshara - subzone 4;14
8183;Dreamfoil - Azshara - subzone 5;14
8184;Golden Sansam - Azshara - subzone 5;14
8185;Mountain Silversage - Azshara - subzone 5;14
8189;Dreamfoil - Azshara - subzone 6;14
8190;Golden Sansam - Azshara - subzone 6;14
8191;Mountain Silversage - Azshara - subzone 6;14
8194;Dreamfoil - Azshara - subzone 7;14
8198;Dreamfoil - Azshara - subzone 8;14
8199;Golden Sansam - Azshara - subzone 8;14
8200;Mountain Silversage - Azshara - subzone 8;14
8202;Dreamfoil - Azshara - subzone 9;14
8203;Golden Sansam - Azshara - subzone 9;14
8204;Mountain Silversage - Azshara - subzone 9;14
8244;Arthas' Tears - Western Plaguelands - subzone 1;14
8245;Sungrass - Western Plaguelands - subzone 1;14
8246;Dreamfoil - Western Plaguelands - subzone 1;14
8249;Arthas' Tears - Western Plaguelands - subzone 2;14
8250;Sungrass - Western Plaguelands - subzone 2;14
8251;Dreamfoil - Western Plaguelands - subzone 2;14
8254;Arthas' Tears - Western Plaguelands - subzone 3;14
8255;Sungrass - Western Plaguelands - subzone 3;14
8256;Dreamfoil - Western Plaguelands - subzone 3;14
