SpellList;Name;Patch
8201;zzOLDHealing Stream Totem;32
9942;Mithril Scale Gloves;32
9944;Plans: Mithril Scale Gloves;32
29518;Sillithus Flag Click (DND);31
29785;Sillithus Flag Capture;31
30018;Crystal Throat Lozenge;31
30021;Crystal Infused Bandage;31
30046;Crystal Infused Bandage;31
30047;Crystal Throat Lozenge;31
30048;Recipe: Crystal Throat Lozenge;31
30238;Lordaeron's Blessing;31
31016;Eviscerate;31
31017;Eviscerate          ;31
31018;Ferocious Bite;31
31020;Learn Ferocious Bite;31
31906;Lordaeron's Blessing Effect (DND);31
3;Word of Mass Recall (OLD);30
15763;Increased 1H Sword;30
18045;Increase Healing 75;30
21477;Increased Block 3;30
24196;Increase Spell Dam 47;30
27995;Unholy Frenzy;30
28006;Arcane Cloaking;30
28144;Power of the Guardian;30
28145;Power of the Guardian;30
28205;Glacial Gloves;30
28207;Glacial Vest;30
28208;Glacial Cloak;30
28209;Glacial Wrists;30
28212;Pattern: Glacial Gloves;30
28213;Pattern: Glacial Gloves;30
28214;Pattern: Glacial Cloak;30
28215;Pattern: Glacial Wrists;30
28219;Polar Tunic;30
28220;Polar Gloves;30
28221;Polar Bracers;30
28222;Icy Scale Breastplate;30
28223;Icy Scale Gauntlets;30
28224;Icy Scale Bracers;30
28228;Pattern: Polar Tunic;30
28229;Pattern: Polar Gloves;30
28230;Pattern: Polar Bracers;30
28231;Pattern: Icy Scale Breastplate;30
28232;Pattern: Icy Scale Gauntlets;30
28233;Pattern: Icy Scale Bracers;30
28242;Icebane Breastplate;30
28243;Icebane Gauntlets;30
28244;Icebane Bracers;30
28245;Plans: Icebane Breastplate;30
28248;Plans: Icebane Gauntlets;30
28249;Plans: Icebane Bracers;30
28282;Ashbringer;30
28288;Omarion's Secrets;30
28324;Forming Frame of Atiesh;30
28347;Dimensional Siphon;30
28354;Exorcise Atiesh;30
28444;Portal Effect: Deathknight Wing;30
28686;Increase Healing 161;30
28687;Increase Spell Dam 85;30
28693;Increase Spell Dam 95;30
28767;Increase Spell Dam 51;30
28778;Loatheb's Reflection;30
28792;Increase Spell Dam 126;30
28800;Word of Thawing;30
28805;Increase Healing 238;30
28840;Attack Power 98;30
28847;Healing Touch Refund;30
28849;Lesser Healing Wave;30
28851;Increased Flash of Light Healing;30
29112;Champion of the Dawn;30
29113;Champion of the Dawn;30
29150;Electric Discharge;30
29151;Electric Discharge;30
29162;Stygian Grasp;30
29164;Stygian Grasp;30
29371;Eruption;30
29432;Fire Protection;30
29467;Power of the Scourge;30
29475;Resilience of the Scourge;30
29480;Fortitude of the Scourge;30
29483;Might of the Scourge;30
3231;QAEnchant Cloak +3 Agility;29
6476;QAEnchant Cloak +10 Shadow Resistance;29
8375;QAEnchant Gloves +5 Mining;29
13548;Summon Farm Chicken;29
13563;Summon Chicken Egg;29
16243;Ribbon of Souls;29
17319;Undead Slayer 81;29
24197;Increase Spell Dam Undead 48;29
26019;QAEnchant Boots +8% Speed;29
26020;QAEnchant Gloves +5 Herbalism;29
27866;Summon Necropolis critters;29
27922;[PH] Get Token;29
28086;[PH] Buttress Activator;29
28161;Savage Guard;29
28163;Ice Guard;29
28165;Shadow Guard;29
28200;Ascendance;29
28204;Ascendance;29
28210;Gaea's Embrace;29
28211;Pattern: Gaea's Embrace;29
28270;Polymorph: Cow;29
28271;Polymorph: Turtle;29
28272;Polymorph: Pig;29
28284;Polymorph: Chicken;29
28285;Polymorph: Pig;29
28286;Polymorph: Turtle;29
28344;Create Crystal;29
28461;Ironvine Breastplate;29
28462;Ironvine Gloves;29
28463;Ironvine Belt;29
28464;Plans: Ironvine Breastplate;29
28465;Plans: Ironvine Gloves;29
28466;Plans: Ironvine Belt;29
28472;Bramblewood Helm;29
28473;Bramblewood Boots;29
28474;Bramblewood Belt;29
28475;Pattern: Bramblewood Helm;29
28476;Pattern: Bramblewood Boots;29
28477;Pattern: Bramblewood Belt;29
28480;Sylvan Vest;29
28481;Sylvan Crown;29
28482;Sylvan Shoulders;29
28483;Pattern: Sylvan Vest;29
28484;Pattern: Sylvan Crown;29
28485;Pattern: Sylvan Shoulders;29
28611;Shadow Ward;29
28852;Improved Seal of the Crusader;29
28853;Increased Flash of Light Healing;29
28854;Improved Moonfire;29
28855;Reduced Maul and Swipe Cost;29
28856;Increased Lesser Healing Wave;29
28857;Increased Lightning Damage;29
28870;Undead Slayer 60;29
28876;Increase Spell Dam Undead 26;29
28891;Consecrated Weapon;29
28898;Blessed Wizard Oil;29
29007;Drink;29
29008;Food;29
29059;Skeletal Steed;29
29229;Flame Shock;29
29369;Increase Healing 134;29
29602;Jom Gabbar;29
29604;Jom Gabbar;29
30088;Lesser Mark of the Dawn;29
30089;Mark of the Dawn;29
30090;Greater Mark of the Dawn;29
7211;Devilsaur Barb;28
7515;Increased Defense;28
15824;Attack Power 76;28
18676;Increased All Resist 05;28
21473;Increased Block 2;28
26276;Greater Firepower;28
26277;Elixir of Greater Firepower;28
26278;Recipe: Elixir of Greater Firepower;28
26279;Stormshroud Gloves;28
26280;Pattern: Stormshroud Gloves;28
27037;Stealth +8;28
27146;Left Piece of Lord Valthalak's Amulet;28
27184;Summon Mor Grayhoof DND;28
27190;Summon Isalien DND;28
27191;Summon Jarien and Sothos DND;28
27201;Summon Kormok DND;28
27202;Summon Lord Valthalak DND;28
27203;Summon Various DND;28
27205;Increased Pet Damage +3%;28
27206;Increased Pet Damage +3%;28
27208;Increased Pet Armor +10%;28
27225;Increased Pet Armor +10%;28
27360;Instill Lord Valthalak's Spirit DND;28
27433;Ectoplasmic Distiller;28
27517;Summon Thelrin DND;28
27539;Obsidian Armor;28
27585;Heavy Obsidian Belt;28
27586;Jagged Obsidian Shield;28
27587;Thick Obsidian Breastplate;28
27588;Light Obsidian Belt;28
27589;Black Grasp of the Destroyer;28
27590;Obsidian Mail Tunic;28
27591;Plans: Heavy Obsidian Belt;28
27592;Plans: Jagged Obsidian Shield;28
27593;Plans: Thick Obsidian Breastplate;28
27594;Plans: Light Obsidian Belt;28
27595;Plans: Black Grasp of the Destroyer;28
27596;Plans: Obsidian Mail Tunic;28
27616;Extra-Dimensional Ghost Revealer;28
27620;Snap Kick;28
27652;Elixir of Resistance;28
27653;Elixir of Dodging;28
27656;Flame Lash;28
27658;Enchanted Mageweave Pouch;28
27659;Enchanted Runecloth Bag;28
27660;Big Bag of Enchantment;28
27672;Initiate Secret Technique;28
27675;Chromatic Infusion;28
27724;Cenarion Herb Bag;28
27725;Satchel of Cenarius;28
27726;Pattern: Enchanted Mageweave Pouch;28
27727;Pattern: Enchanted Runecloth Bag;28
27728;Pattern: Big Bag of Enchantment;28
27729;Pattern: Cenarion Herb Bag;28
27730;Pattern: Satchel of Cenarius;28
27738;Right Piece of Lord Valthalak's Amulet;28
27739;Top Piece of Lord Valthalak's Amulet;28
27797;Reduced Reincarnation Cooldown;28
27829;Titanic Leggings;28
27830;Persuader;28
27832;Sageblade;28
27833;Plans: Titanic Leggings;28
27834;Plans: Sageblade;28
27835;Plans: Persuader;28
27837;Enchant 2H Weapon - Agility;28
27838;Formula: Enchant 2H Weapon - Agility;28
27846;Faster Healing Touch Cast;28
27847;Cleanse Cost Reduced;28
27848;Seal Cost Reduced;28
27850;Devotion Armor Increased;28
27851;Reduced Claw and Rake Cost;28
27853;Increased Rejuvenation Healing;28
27855;Increased Lesser Healing Wave;28
27859;Increased Shock Damage;28
13567;Dummy Trigger;27
15760;Increased 1H Mace;27
15817;Attack Power 64;27
18036;Increase Healing 55;27
18053;Increase Spell Dam 36;27
21438;Attack Power Ranged 31;27
21476;Increased Block 3;27
24726;Deputize Agent of Nozdormu;27
25072;Enchant Gloves - Threat;27
25073;Enchant Gloves - Shadow Power;27
25074;Enchant Gloves - Frost Power;27
25078;Enchant Gloves - Fire Power;27
25079;Enchant Gloves - Healing Power;27
25080;Enchant Gloves - Superior Agility;27
25081;Enchant Cloak - Greater Fire Resistance;27
25082;Enchant Cloak - Greater Nature Resistance;27
25083;Enchant Cloak - Stealth;27
25084;Enchant Cloak - Subtlety;27
25086;Enchant Cloak - Dodge;27
25087;Formula: Enchant Gloves - Threat;27
25088;Formula: Enchant Gloves - Shadow Power;27
25089;Formula: Enchant Gloves - Frost Power;27
25090;Formula: Enchant Gloves - Fire Power;27
25091;Formula: Enchant Gloves - Healing Power;27
25092;Formula: Enchant Gloves - Superior Agility;27
25093;Formula: Enchant Cloak - Greater Fire Resistance;27
25094;Formula: Enchant Cloak - Greater Nature Resistance;27
25095;Formula: Enchant Cloak - Stealth;27
25096;Formula: Enchant Cloak - Subtlety;27
25097;Formula: Enchant Cloak - Dodge;27
25117;Minor Wizard Oil;27
25118;Minor Mana Oil;27
25119;Lesser Wizard Oil;27
25120;Lesser Mana Oil;27
25121;Wizard Oil;27
25122;Brilliant Wizard Oil;27
25123;Brilliant Mana Oil;27
25124;Minor Wizard Oil;27
25125;Minor Mana Oil;27
25126;Lesser Wizard Oil;27
25127;Lesser Mana Oil;27
25128;Wizard Oil;27
25129;Brilliant Wizard Oil;27
25130;Brilliant Mana Oil;27
25132;Formula: Minor Wizard Oil;27
25133;Formula: Minor Mana Oil;27
25134;Formula: Lesser Wizard Oil;27
25135;Formula: Lesser Mana Oil;27
